id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
INDIAN-BUTTER-CHICKEN-1375658,INDIAN BUTTER CHICKEN,4,4200.0,[Main Dishes],[Indian],"[boneless chicken, garam masala, chili powder, salt, garlic cloves, ginger, olive oil, butter, onions, chili pepper, tumeric, coriander powder, cumin seed, tomatoes, water, ketchup, honey, milk, pepper, cilantro]"
Mutton-Chops-Curry-Recipe-How-to-make-mutton-chops-curry-1372004,Mutton Chops Curry Recipe-How to make mutton chops curry,4,4200.0,[Main Dishes],[Indian],"[lamb chops, yoghurt, garlic paste, oil, seeds, cumin seed, green chilies, red chili peppers, onions, cardamom, clove, cinnamon, cilantro leaves, mint leaves, salt]"
Spicy-mixture-_-South-Indian-Trail-mix-_-Diwali-1365655,Spicy mixture ~ South Indian Trail mix | Diwali,4,2400.0,[],[Indian],"[chickpea flour, rice flour, red chili powder, salt, oil, poha, bengal gram, peanuts, curry leaves, asafetida]"
Creamy-Chicken-Tikka-Masala-1375279,Creamy Chicken Tikka Masala,4,10800.0,[Main Dishes],[Indian],"[garlic cloves, fresh ginger, canola oil, boneless chicken skinless thigh, plain yogurt, salt, pepper, unsalted butter, olive oil, serrano peppers, yellow onion, tomato paste, garam masala, paprika, cayenne pepper, water, roma tomatoes, heavy cream, cilantro, honey, rice]"
Tandoori-Turkey-Breast-1363477,Tandoori Turkey Breast,4,6000.0,[Main Dishes],[Indian],"[plain yogurt, lime, garam masala, cumin, coriander seeds, garlic powder, ground ginger, ground cinnamon, salt, tumeric, cayenne pepper, ground black pepper, fennel seeds, ground cloves, ground cardamom, turkey breast]"
Keema-Paratha-Recipe-Stuffed-keema-paratha-1361561,Keema Paratha Recipe-Stuffed keema paratha,4,4500.0,[],[Indian],"[whole wheat flour, ghee, salt, mutton, onions, cumin seed, green chilies, garlic paste, red chili powder, chat masala, cilantro leaves, oil, wheat flour]"
Slow-Cooker-Coconut-Chicken-Tikka-Masala-1362630,Slow-Cooker Coconut Chicken Tikka Masala,3,15900.0,[Main Dishes],[Indian],"[bone in chicken thighs, ground coriander, paprika, salt, ground red pepper, canola oil, coconut milk, onions, garlic, gingerroot, ground cumin, garam masala, ground turmeric, diced tomatoes, whipping cream, chopped cilantro fresh, basmati rice, lime wedges]"
Dahi-Chicken-Curry_-Doi-Murgh-1352177,"Dahi Chicken Curry, Doi Murgh",4,3900.0,[Main Dishes],[Indian],"[chicken, onions, garlic, ginger, red chili peppers, peppercorns, bay leaves, green cardamom pods, clove, cinnamon sticks, red chili powder, salt, kasuri methi, yoghurt, buttermilk, garam masala, oil]"
Homemade-Tikka-Masala-1353535,Homemade Tikka Masala,3,4200.0,[Main Dishes],[Indian],"[boneless skinless chicken breasts, plain yogurt, garlic, fresh ginger, lemon juice, garam masala, salt, pepper, unsalted butter, jalapeno chilies, minced ginger, tomato paste, paprika, diced tomatoes, water, heavy cream, steamed rice, chopped cilantro]"
Butter-Chicken-1370095,Butter Chicken,4,3300.0,[Main Dishes],[Indian],"[onions, butter, vegetable oil, chicken breasts, chillies, ginger, garlic, cooking cream, low-fat yogurt, brown sugar, tomato paste, canned tomatoes, rice, water, cardamom, garam masala, clove, cinnamon, coriander, tumeric]"
Indian-Style-Sheekh-Kabab-1363441,Indian Style Sheekh Kabab,4,3900.0,[Main Dishes],[Barbecue],"[ground lamb, onions, fresh mint, cilantro, ginger paste, chili paste, ground cumin, ground coriander, paprika, cayenne pepper, salt, vegetable oil]"
Grilled-Tandoori-Chicken-1363823,Grilled Tandoori Chicken,4,3000.0,[Main Dishes],[Indian],"[plain yogurt, lemon juice, onions, garlic, ginger, garam masala, paprika, cumin, coriander, pepper, salt, chicken]"
Boneless-Tandoori-Chicken-recipe-in-oven-how-to-make-tandoori-chicken-1358812,Boneless Tandoori Chicken recipe in oven-how to make tandoori chicken,4,6300.0,[Main Dishes],[Indian],"[boneless chicken, yoghurt, garlic paste, red chili powder, garam masala, ground turmeric, coriander powder, chaat masala, gram flour, lemon juice, black salt, olive oil]"
Malpua--Sweet-Indian-Pancakes-1368144,Malpua -Sweet Indian Pancakes,3,1800.0,[Breakfast and Brunch],[Indian],"[whole wheat flour, sugar, milk, curds, fennel seeds, poppy seeds, salt, ground cardamom, almonds, ghee]"
Butter-Chicken-for-the-Slow-Cooker-1376367,Butter Chicken for the Slow Cooker,4,22500.0,[Main Dishes],[Indian],"[butter, vegetable oil, boneless chicken skinless thigh, onions, garlic, curry powder, curry paste, tandoori spices, garam masala, tomato paste, green cardamom pods, coconut milk, yoghurt, salt]"
Easy-Indian-Curry-1372815,Easy Indian Curry,4,300.0,[],[Indian],"[green pepper, small red potato, ginger, yellow onion, jalapeno chilies, mustard seeds, cumin seed, dried chile, salt, red chile powder]"
Indian-Style-Baked-Tofu-1318882,Indian Style Baked Tofu,4,6000.0,,[Indian],"[extra firm tofu, oil, curry powder, red chili powder, ground turmeric, salt, lemon juice, red food coloring]"
Indian-Naan-1308438,Indian Naan,4,3900.0,[],[Indian],"[flour, low-fat plain yogurt, salt, baking powder]"
Hyderabadi-Chicken-Biryani-1356785,Hyderabadi Chicken Biryani,3,1200.0,[Main Dishes],[Indian],"[chicken, garlic, ginger, salt, lemon, yoghurt, tumeric, red chile powder, garam masala, coriander, mint, green chilies, onions, ghee, rice, almonds, bay leaf, clove, cardamom, cumin seed, cinnamon, saffron, water]"
Indian-Appetizer-Cabbage-Pakora-1376601,Indian Appetizer Cabbage Pakora,4,900.0,[Appetizers],[Indian],"[onions, cabbage, salt, tumeric, cumin seed, ground cumin, coriander powder, red chili powder, baking soda, rice flour, besan (flour), oil]"
Kokubs-Mango-Chutney-from-Pakistan-1367655,Kokub’s Mango Chutney from Pakistan,4,3900.0,[],[Asian],"[mango, fresh ginger root, garlic, white sugar, salt, red pepper flakes, cumin seed, black peppercorns, white vinegar, clove, cinnamon sticks, cardamom seeds, cardamom pods]"
Aromatic-Blackeye-Bean-Curry-1373957,Aromatic Blackeye Bean Curry,3,5400.0,[Main Dishes],[Indian],"[black-eyed peas, cumin seed, coriander seeds, fennel seeds, fenugreek seeds, cinnamon, chili flakes, oil, black mustard seeds, fresh curry leaves, onions, garlic, fresh ginger, salt, water, cilantro leaves, coconut]"
Biryani-Inspired-Autumn-Vegetable-Rice-1363801,Biryani-Inspired Autumn Vegetable Rice,4,2700.0,[Side Dishes],[Indian],"[olive oil, basmati rice, raw cashews, golden raisins, cinnamon, cardamom pods, clove, ground turmeric, water, chopped onion, garam masala, salt, garlic, red chili peppers, cauliflower florets, butternut squash, fresh lime, cilantro leaves, purple onion]"
Indian-Spiced-Cauliflower-_-Potatoes-1364818,Indian Spiced Cauliflower & Potatoes,4,3000.0,[Side Dishes],[Indian],"[potatoes, cauliflower, fresh ginger, red pepper flakes, garlic, ground coriander, ground cumin, ground turmeric, salt, vegetable oil, water, fresh cilantro]"
Butter-Chicken_-Murgh-Makhani-1374864,Butter Chicken/ Murgh Makhani,4,3000.0,[],[Indian],"[unsalted butter, green cardamom pods, cinnamon sticks, clove, onions, ginger, green chilies, chili powder, garam masala, tomato purée, double cream, honey, kasuri methi, salt, coriander]"
Murgh-Makhani-Indian-Butter-Chicken-1367547,Murgh Makhani Indian Butter Chicken,4,5100.0,[Main Dishes],[Indian],"[chicken breasts, onions, minced garlic, cashew butter, garlic powder, minced ginger, cumin, clove, cardamom, tumeric, lemon juice, masala, paprika, bay leaves, diced tomatoes, cream, plain yogurt, salt, pepper]"
Easy-Baked-Indian-Samosas-1363448,Easy Baked Indian Samosas,4,5100.0,,[Indian],"[potatoes, oil, onions, coriander seeds, curry powder, fresh ginger, salt, ground turmeric, ground cumin, ground allspice, cayenne pepper, ground cinnamon, plum tomatoes, frozen peas, prepared pie crusts, egg whites]"
Masala-Chai-_Indian-Spiced-Tea_-1308464,Masala Chai (Indian Spiced Tea),4,1800.0,[Beverages],[Indian],"[clove, water, cardamom pods, cinnamon sticks, milk, sugar, black tea leaves]"
Pakistani-Chicken-Biryani-1375129,Pakistani Chicken Biryani,4,6300.0,[Main Dishes],[Indian],"[chicken, basmati rice, oil, potatoes, green chilies, cardamom, clove, cinnamon, shahi jeera, onions, garlic paste, tomatoes, yoghurt, crushed red pepper flakes, salt, mint leaves, cilantro leaves, orange food coloring]"
Erissery-1356424,Erissery,4,2400.0,[],[Indian],"[butternut squash, cowpeas, paprika, cayenne, ground turmeric, salt, coconut, cumin seed, coconut oil, curry leaves, mustard, red chili peppers]"
Tandoori-Chicken-Tikka-1374865,Tandoori Chicken Tikka,4,3000.0,[Main Dishes],[Indian],"[boneless chicken skinless thigh, yoghurt, chickpea flour, garlic, ginger, green chilies, paprika, chili powder, garam masala, coriander powder, ground cinnamon, saffron, salt, butter, chaat masala, lemon, salad, chutney]"
Indian-Cumin-Potatoes-1349563,Indian Cumin Potatoes,4,2400.0,[Side Dishes],[Indian],"[waxy potatoes, salt, water, oil, cumin seed, tumeric, fresh coriander]"
Skinny-chicken-tikka-masala-352197,Skinny Chicken Tikka Masala,5,2700.0,[Main Dishes],[Indian],"[canola oil, onions, fresh ginger, garlic, crushed tomatoes, fat free yogurt, 1% low-fat milk, cumin, garam masala, tumeric, chili powder, salt, boneless chicken breast, fresh cilantro]"
Spiced-Beef-Flatbread-_Khima-Chapati_-1359314,Spiced Beef Flatbread (Khima Chapati),4,3000.0,[Main Dishes],[Indian],"[plain flour, eggs, yoghurt, salt, ghee, minced beef, purple onion, ginger, garlic, chili flakes, dried mint flakes, cumin seed, garam masala, red chili peppers, coriander, pepper]"
Clean-Eating-Indian-Fried-Rice-1344574,Clean Eating Indian Fried Rice,4,1500.0,[],[Indian],"[ground turkey breast, long grain brown rice, curry, oregano, red bell pepper, pepper]"
Naan-_Indian-Leavened-Flatbread_-685449,Naan (Indian Leavened Flatbread),3,3900.0,[Breads],[Indian],"[water, honey, active dry yeast, all-purpose flour, greek yogurt, canola oil, kosher salt, cilantro, ghee]"
Samosa-Or-How-To-Make-Samosa-1363245,Samosa Or How To Make Samosa,3,2400.0,[],"[Indian, Asian]","[plain flour, ghee, seeds, salt, potatoes, green peas, oil, cumin seed, asafoetida, chilli paste, garam masala, amchur, coriander, chutney]"
Easy-Mango-Lassi-510417,Easy Mango Lassi,5,1200.0,[Beverages],[Indian],"[low-fat plain yogurt, mango, raw sugar, hot water, salt, ice cubes]"
Kerala-Style-Chicken-Curry-Recipe-Kerala-chicken-curry-with-coconut-1357907,Kerala Style Chicken Curry Recipe-Kerala chicken curry with coconut,4,4200.0,[Main Dishes],"[Indian, Asian]","[chicken, coconut oil, onions, garlic cloves, ginger, green chilies, coriander, red chili powder, ground turmeric, garam masala, coconut milk, fennel seeds, salt, curry leaves, cilantro leaves]"
Mango-lassi-352090,Mango Lassi,5,300.0,[Beverages],"[Asian, Indian]","[mango, greek yogurt, fat free milk, sugar, ice]"
Red-Lentils-_-Masoor-Dal-1366543,Red Lentils / Masoor Dal,4,4500.0,[Main Dishes],[Indian],"[olive oil, cumin seed, black mustard seeds, onions, garlic, fresh ginger, ground cumin, ground coriander, ground turmeric, paprika, ground red pepper, red lentils, water, crushed tomatoes, salt, black pepper, lemon juice]"
Dal-Baingan-Bharta-_Indian-Eggplant-and-Lentil-Curry_-1367930,Dal Baingan Bharta (Indian Eggplant and Lentil Curry),4,6300.0,[Main Dishes],[Indian],"[red lentils, water, olive oil, garlic, ginger, fenugreek, tumeric, cumin, coriander, salt, lemon juice, eggplant, butter, cumin seed, onions, fire roasted diced tomatoes, red chili peppers]"
Cucumber-_-Mint-Raita-1345525,Cucumber & Mint Raita,4,900.0,,[Indian],"[greek yogurt, cucumber, chopped fresh mint, ground cumin, cracked black pepper, sea salt, cayenne]"
Bangladeshi-Beef-Samosas-1367652,Bangladeshi Beef Samosas,4,5100.0,[Main Dishes],[Indian],"[large potatoes, frozen peas, vegetable oil, cumin seed, bay leaf, onions, ground beef, garlic, fresh ginger root, ground black pepper, salt, ground cumin, ground coriander, ground turmeric, chili powder, ground cinnamon, ground cardamom, chopped cilantro fresh, green chilies, oil, phyllo dough]"
