id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Best-Salmon-1367371,Best Salmon,4,2400.0,[Main Dishes],[Barbecue],"[salmon fillets, soy sauce, brown sugar, olive oil, lemon juice, garlic cloves, black pepper]"
Grilled-Bruschetta-Chicken-1372522,Grilled Bruschetta Chicken,4,2400.0,[Main Dishes],[Barbecue],"[boneless skinless chicken breast halves, sun dried tomato dressing, tomatoes, part-skim mozzarella cheese, fresh basil]"
Hawaiian-Beef-Teriyaki-1364621,Hawaiian Beef Teriyaki,4,2100.0,[Main Dishes],[Hawaiian],"[pineapple chunks, soy sauce, brown sugar, garlic, minced ginger, skirt steak]"
Vietnamese-Vermicelli-Bowl-1374692,Vietnamese Vermicelli Bowl,4,3300.0,[Main Dishes],[Asian],"[chicken, lemongrass, onions, garlic cloves, kosher salt, sugar, five spice, oil, rice vermicelli, red bell pepper, english cucumber, daikon, fresh basil leaves, fresh lime juice, fish sauce, water, red chili peppers]"
London-Broil-1375016,London Broil,3,1500.0,[Main Dishes],[Barbecue],"[steak, soy sauce, garlic, fresh ginger, brown sugar]"
Margarita-Shrimp-Skewers-1376928,Margarita Shrimp Skewers,3,3300.0,[Appetizers],[Barbecue],"[shrimp, fresh lime juice, lime zest, olive oil, tequila, garlic, fresh cilantro, sea salt, cayenne pepper, bamboo shoots]"
Yakitori-1364355,Yakitori,4,2100.0,[],[Japanese],"[soy, mirin, sake, sugar, chicken breasts, green onions]"
Yakitori-Chicken-With-Ginger_-Garlic-and-Soy-Sauce-1363175,"Yakitori Chicken With Ginger, Garlic and Soy Sauce",3,3900.0,[Main Dishes],"[Japanese, Asian]","[chicken livers, dark soy sauce, mirin, sake, brown sugar, garlic cloves, fresh ginger, scallions]"
Bacon-Wrapped-Barbecued-Chicken-1367707,Bacon Wrapped Barbecued Chicken,4,2400.0,[Main Dishes],[Barbecue],"[leg quarters, sauce, rub, bacon, pineapple, brown sugar, coconut flakes]"
Easy-Pan-Grilled-Pork-Chops-With-Spicy-Rub-1359354,Easy Pan-Grilled Pork Chops With Spicy Rub,3,1500.0,[Main Dishes],[Barbecue],"[boneless chop pork, thyme, chipotle chile powder, chili powder, cajun seasoning, salt, black pepper, extra-virgin olive oil]"
Southern-BBQ_-Georgia-Style-1363050,"Southern BBQ, Georgia Style",4,1200.0,,[Southern & Soul Food],"[bourbon whiskey, sea salt, granulated garlic, black pepper, chili powder, brown sugar, paprika, onion powder, cumin, cayenne pepper, apple cider vinegar, apple juice, ketchup, worcestershire sauce, garlic powder, kosher salt, dry mustard]"
Chipotle-Kiwi-Tequila-Carne-Asada-1374781,Chipotle-Kiwi-Tequila Carne Asada,3,3600.0,[Main Dishes],[Mexican],"[skirt steak, tequila, lime juice, lemon juice, orange juice, kiwi fruits, chipotles in adobo, spring onions, garlic, kosher salt]"
Grilled-BBQ-Chicken-Nuggets-1356457,Grilled BBQ Chicken Nuggets,4,1200.0,[Main Dishes],[Barbecue],"[bbq sauce, chicken breasts, purple onion, cilantro]"
Homemade-BBQ-Sauce-1358871,Homemade BBQ Sauce,4,300.0,[Condiments and Sauces],[Barbecue],"[tomato paste, water, worcestershire sauce, apple cider vinegar, garlic powder, salt, raw honey, black pepper]"
Grilled-Buffalo-Burgers-1359024,Grilled Buffalo Burgers,3,1200.0,[Main Dishes],[Barbecue],"[buffalo meat, barbecue sauce, sea salt, cracked black pepper, hamburger buns]"
Indian-Style-Sheekh-Kabab-1363441,Indian Style Sheekh Kabab,4,3900.0,[Main Dishes],[Barbecue],"[ground lamb, onions, fresh mint, cilantro, ginger paste, chili paste, ground cumin, ground coriander, paprika, cayenne pepper, salt, vegetable oil]"
Easiest-Grilled-Corn-EVER__-1361029,Easiest Grilled Corn EVER!!,4,2520.0,[Side Dishes],[Barbecue],"[fresh corn, pepper, butter salt]"
