id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Spanish-Rice-One-Pot-1353837,Spanish Rice One Pot,4,2400.0,[],[Spanish],"[olive oil, garlic, onions, chorizo, yellow peppers, rice, water, chopped tomatoes, smoked paprika]"
Paella-1362635,Paella,4,3300.0,[Main Dishes],[Spanish],"[extra-virgin olive oil, cured chorizo, yellow onion, red bell pepper, garlic, salt, freshly ground pepper, long grain white rice, saffron threads, chicken broth, clams, large shrimp, peas, lemon wedge]"
Quinoa-_-Shrimp-Paella-1359819,Quinoa & Shrimp Paella,4,2700.0,[Main Dishes],[Spanish],"[yellow onion, garlic, olive oil, quinoa, chicken broth, crushed red pepper flakes, bay leaf, saffron threads, spanish paprika, black pepper, sea salt, sun-dried tomatoes, red bell pepper, frozen peas, seafood seasoning, large shrimp]"
Spanish-style-garlic-shrimp-298317,Spanish-style Garlic Shrimp,4,1800.0,[Appetizers],[Spanish],"[I Can't Believe It's Not Butter!® Spread, uncook medium shrimp, peel and devein, salt, garlic, jalapeno chilies, finely chopped fresh parsley, lime juice]"
Spanish-Style-Baked-Eggs-1346988,Spanish-Style Baked Eggs,4,2400.0,[Breakfast and Brunch],[Spanish],"[new potatoes, eggs, chorizo, pasta sauce, olive oil]"
Caprese-Salad-The-Pioneer-Woman-Cooks-_-Ree-Drummond-41155,Caprese Salad,5,2100.0,"[Lunch and Snacks, Side Dishes, Salads]","[Spanish, Italian]","[balsamic vinegar, tomatoes, mozzarella cheese, fresh basil leaves, olive oil, ground black pepper, kosher salt]"
Spanish-Salmon-Stew-_Marmitako-de-Salmon_-1375035,Spanish Salmon Stew (Marmitako de Salmón),4,3300.0,[Main Dishes],[Spanish],"[salmon fillets, tomatoes, potatoes, bell pepper, garlic, onions, fish broth, paprika, parsley, olive oil, freshly ground black pepper, salt]"
Spanish-omelette-304333,Spanish Omelette,4,2400.0,"[Breakfast and Brunch, Lunch and Snacks]",[Spanish],"[Country Crock® Spread, all purpose potatoes, onions, eggs, water, ground black pepper, achiote powder]"
Portuguese-Stew-1320868,Portuguese Stew,3,1800.0,[],[Portuguese],"[olive oil, spanish chorizo, garlic, stewed tomatoes, chickpeas, chicken stock, lacinato kale]"
Spanish-Tortilla-Simply-Recipes-42556,Spanish Tortilla,5,1800.0,,[Spanish],"[eggs, yukon gold potatoes, green onions, olive oil, salt]"
