id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Hoisin-Roasted-Duck-1379850,Hoisin Roasted Duck,4,15600.0,[Main Dishes],,"[duck, kosher salt, freshly ground pepper, sauce, red wine, onions, sweet potatoes, mixed spice, lime, lemon]"
Easy-Peking-Duck-_Really_-1377328,Easy Peking Duck (Really),4,44700.0,[Main Dishes],"[Chinese, Asian]","[duck breasts, salt, light soy sauce, Shaoxing wine, chinese five-spice powder, oil, flour, boiling water, cucumber, cantaloupe, scallions, garlic, hoisin sauce]"
Roasted-Duck-Allrecipes,Roasted Duck,5,7800.0,[Main Dishes],,"[salt, paprika, black pepper, duck, melted butter]"
Pan-Sear-Duck-1186128,Pan Sear Duck,4,29940.0,[Main Dishes],,"[duck, salt]"
Roasted-Duck-894666,Roasted Duck,4,10140.0,[Main Dishes],,"[duck, mayonnaise, ground black pepper, salt, garlic cloves]"
Roast-Ducks-with-Potatoes_-Figs_-and-Rosemary-1355993,"Roast Ducks with Potatoes, Figs, and Rosemary",3,6300.0,[Main Dishes],,"[duck, onions, rosemary, freshly ground black pepper, kosher salt, yukon gold potatoes, figs, stock]"
Pomegranate-Duck-1303828,Pomegranate Duck,4,2700.0,[Main Dishes],,"[boneless duck breast, kosher salt, extra-virgin olive oil, shallots, pomegranate juice, reduced sodium chicken broth, corn starch, fresh parsley]"
Duck-Ragu-1292410,Duck Ragu,3,14400.0,[Main Dishes],,"[carrots, duck drumsticks, purple onion, celery ribs, olives, garlic, all-purpose flour]"
Balsamic-Duck-Legs-with-Mushrooms-1377722,Balsamic Duck Legs with Mushrooms,4,4200.0,[Main Dishes],,"[duck drumsticks, extra-virgin olive oil, balsamic vinegar, garlic cloves, shallots, thyme sprigs, freshly ground pepper, kosher salt, cremini mushrooms, green onions, fresh thyme leaves]"
Crisp-Roast-Duck-Epicurious,Crisp Roast Duck,5,9900.0,[Main Dishes],,"[duck, hot water, kosher salt, black pepper]"
Nanjing-Salted-Duck-1352443,Nanjing Salted Duck,4,18000.0,[Main Dishes],,"[duck, salt, szechwan peppercorns, star anise, cumin seed, bay leaves, cinnamon sticks, black peppercorns, ginger, scallions, Shaoxing wine, sesame oil]"
Honey-Sriracha-Duck-Legs-1019960,Honey Sriracha Duck Legs,4,9600.0,[Main Dishes],,"[duck drumsticks, salt, Sriracha, lime, honey, soy sauce]"
Peking-Duck-1233592,Peking Duck,4,900.0,[Main Dishes],,"[duck, water, honey, spring onions, chinese five-spice powder, pepper, salt, fresh ginger, Equal Sweetener, garlic, soy sauce]"
Duck-and-Andouille-Gumbo-1366531,Duck and Andouille Gumbo,3,,,,"[duck drumsticks, yellow onion, garlic, thyme, sage, all-purpose flour, hot sauce, sweet paprika, cayenne, worcestershire sauce, andouille sausage, okra, freshly ground black pepper, kosher salt, cooked white rice]"
Duck-Rendang-1320848,Duck Rendang,3,5400.0,[Main Dishes],[Asian],"[duck breasts, duck, red chili peppers, onions, ginger, galangal, garlic cloves, lemongrass, fresh turmeric, shrimp paste, vegetable oil, coconut milk, palm sugar, lime juice, seasoning, long-grain rice]"
Duck-Carnitas-Nachos-1367467,Duck Carnitas Nachos,4,14400.0,"[Appetizers, Main Dishes]",[Mexican],"[chiles, duck drumsticks, orange peel, garlic cloves, sea salt, lager, corn tortilla chips, black beans, mexican style 4 cheese blend, jalapeno chilies, green onions, cilantro leaves, radishes, crema mexican, salsa, lime wedges]"
Orange-Duck-627174,Orange Duck,4,7200.0,[Main Dishes],,"[duck, salt, ground black pepper, pork lard, nutmeg, orange, bay leaves, onions, country ham, tomato sauce, thyme, chicken stock, orange peel]"
Classic-Roasted-Duck-with-Orange-Bourbon-Molasses-Glaze-1369895,Classic Roasted Duck with Orange-Bourbon-Molasses Glaze,3,42600.0,[Main Dishes],,"[duck, kosher salt, freshly ground black pepper, orange marmalade, bourbon whiskey, molasses, fresh lemon juice, ground ginger, crushed red pepper]"
Honey-Duck-Allrecipes,Honey Duck,5,12000.0,[Main Dishes],,"[duck, fresh basil leaves, fresh ginger root, salt, orange, water, honey, butter, lemon juice, orange juice concentrate]"
Roast-Duck-with-Orange-and-Ginger-1327871,Roast Duck with Orange and Ginger,3,6300.0,[Main Dishes],,"[duck, kosher salt, chinese five-spice powder, orange, ginger, garlic, orange juice, honey, demerara sugar, soy sauce, star anise]"
Duck-Prosciutto-514195,Duck Prosciutto,5,900.0,,,"[duck breasts, kosher salt, ground coriander, ground fennel, ground black pepper, white wine vinegar, figs, cantaloupe]"
Duck-Bites-AllRecipes-38260,Duck Bites,5,5400.0,[Appetizers],,"[dry sherry, soy sauce, peanut oil, fresh ginger root, skinned boned duck breast halves, water chestnuts, bacon]"
Sour-Plum-Duck-1333045,Sour Plum Duck,3,3900.0,[Main Dishes],,"[duck, plum sauce, ginger, shallots, garlic, tamarind, light soy sauce, salt, pepper, dark soy sauce]"
PEKING-DUCK-WITH-CHINESE-PANCAKES-1376506,PEKING DUCK WITH CHINESE PANCAKES,4,,[Main Dishes],"[Chinese, Asian]","[duck, kosher salt, chinese five-spice powder, honey, all-purpose flour, hot water, sesame oil, hoisin sauce, cucumber, green onions]"
Duck-Fat-Pancakes-1350256,Duck Fat Pancakes,3,3300.0,[Breakfast and Brunch],,"[whole milk, large eggs, all-purpose flour, corn starch, baking powder, sugar, kosher salt, duck fat, unsalted butter, pure maple syrup]"
Rosemary-Duck-with-Apricots-1042599,Rosemary Duck with Apricots,4,7800.0,[Main Dishes],,"[fresh rosemary, brown sugar, ground black pepper, salt, duck breasts, granulated sugar, champagne vinegar, apricots]"
How-To-Slow-Cook-Duck-Legs-1351205,How To Slow Cook Duck Legs,4,3300.0,[Main Dishes],[Asian],"[duck drumsticks, chinese five-spice powder, Shaoxing wine, soy sauce, ginger, garlic, dried shiitake mushrooms, star anise, vegetables]"
Duck-Rendang-1320849,Duck Rendang,3,12600.0,[Main Dishes],[Asian],"[duck breasts, caster sugar, jasmine rice, vegetable oil, garlic cloves, light soy sauce, rock sugar, Shaoxing wine, liquorice, clove, galangal, star anise, cardamom pods, spring onions, ginger, cinnamon, szechwan peppercorns, orange, chillies, lemongrass, onions, fresh curry leaves, paprika, curry powder, chicken stock, shredded coconut, lemon]"
Pappardelle-Duck-Ragu-1339843,Pappardelle Duck Ragu,3,4200.0,[Main Dishes],,"[garlic cloves, thyme, kosher salt, ground black pepper, duck drumsticks, pasta dough, all-purpose flour, olive oil, onions, celery ribs, carrots, dry white wine, San Marzano tomatoes, dark chocolate, chili flakes, parmigiano, parsley leaves]"
Duck-Cassoulet-457227,Duck Cassoulet,5,,[Main Dishes],[French],"[duck, fresh thyme, garlic cloves, bay leaves, peppercorns, salt, canola oil, great northern beans, carrots, bay leaf, parsley sprigs, yellow onion, clove, sausages, tomatoes, low sodium chicken broth, freshly ground pepper]"
Nigel-slater_s-duck-with-figs-and-barolo-302549,Nigel Slater's Duck with Figs and Barolo,5,2400.0,[Main Dishes],,"[duck drumsticks, thyme, figs, red wine, barolo]"
Roast-Duck-Legs-And-Potatoes-1005801,Roast Duck Legs And Potatoes,3,4200.0,[Main Dishes],,"[duck drumsticks, baking potatoes, potatoes, fresh thyme, sea salt flakes, pepper]"
Duck-Ragu-1005579,Duck Ragu,3,6300.0,[Main Dishes],,"[duck drumsticks, olive oil, salt, pepper, onions, garlic, celery, tomato purée, red wine, dried oregano, thyme, chopped tomatoes, pappardelle, flat leaf parsley, grated parmesan cheese]"
Enriched-Duck-Stock-441307,Enriched Duck Stock,5,4200.0,[Soups],,"[duck carcass, yellow onion, black peppercorns, bay leaf, salt, demi-glace]"
Pappardelle-with-Duck-Sugo-1334155,Pappardelle with Duck Sugo,3,,,,"[duck stock, dried porcini mushrooms, chopped parsley, rosemary leaves, sage leaves, garlic, celery, small yellow onion, olive oil, duck drumsticks, kosher salt, ground black pepper, dry white wine, dried pappardelle, grated parmesan cheese]"
Duck-Burger-513701,Duck Burger,4,1200.0,[Main Dishes],,"[meat, duck fat, scallions, fresh ginger, chinese five-spice powder, vegetable oil, swiss cheese, rolls, mayonnaise]"
Brining-Duck-1049655,Brining Duck,4,6300.0,[Main Dishes],,"[sugar, kosher salt, juniper berries, clove, black peppercorns, bay leaves, water, duck drumsticks, garlic, carrots, celery, onions, extra-virgin olive oil, chopped garlic, lentils, thyme]"
Maple-lacquered-duck-breast-329340,Maple Lacquered Duck Breast,5,2100.0,[Main Dishes],,"[duck breasts, pure maple syrup, crushed red pepper, orange, fresh thyme, salt]"
Peking-Duck-Allrecipes,Peking Duck,5,13800.0,[Main Dishes],,"[duck, ground cinnamon, ground ginger, ground nutmeg, ground white pepper, ground cloves, soy sauce, honey, orange, fresh parsley, green onions, plum jam, sugar, white vinegar, chutney]"
Slow-roast-duck-323280,Slow Roast Duck,5,,,,"[duck, kosher salt]"
Smoked-Duck-Or-Goose-754023,Smoked Duck Or Goose,4,14700.0,,,"[duck, salt, maple syrup]"
Crispy-Caraway-Roast-Duck-480701,Crispy Caraway Roast Duck,4,,[Main Dishes],,"[duck, mustard, honey, caraway seeds, kosher salt]"
Crispy-Whole-Duck-1005593,Crispy Whole Duck,3,3300.0,,,"[duck, soy sauce, orange juice, orange, maple syrup, chinese five-spice powder, egg whites, salt, corn flour, oil]"
Duck-Magret-with-Pomegranate-897886,Duck Magret with Pomegranate,4,2400.0,,,"[pomegranate seeds, duck breasts, honey, balsamic vinegar]"
Flaming-duck-325005,Flaming Duck,4,2400.0,[Main Dishes],,"[duck breasts, seedless red grapes, unsalted butter, brandy, watercress, pepper, salt, chinook]"
Crispy-Duck-And-Pancakes-1063287,Crispy Duck And Pancakes,3,1200.0,[Main Dishes],,"[duck drumsticks, chinese five-spice powder, szechwan peppercorns, salt, honey, chicken stock, plain flour, boiling water, sesame oil, cucumber, spring onions, hoisin sauce]"
Mock-Duck-Yellow-Curry-1246442,Mock Duck Yellow Curry,4,2100.0,[Main Dishes],,"[small red potato, stir fry vegetable blend, duck, curry]"
Duck-Stew-My-Recipes,Duck Stew,4,2640.0,"[Soups, Main Dishes]",,"[canola oil, boneless duck breast halves, smoked turkey sausage, chopped celery, carrots, chopped onion, minced garlic, fat free less sodium chicken broth, great northern beans, diced tomatoes]"
Duck-Rillettes-1031615,Duck Rillettes,3,5100.0,,[French],"[duck drumsticks, thyme, kosher salt, ground ginger, duck stock, black peppercorns, garlic, bay leaves, ginger, armagnac, chopped parsley, grated orange, ground cloves, ground black pepper, duck fat, toast points, turnips, radishes, onions, pickled carrots, cornichons]"
Roast-Duck-with-Plums-1014885,Roast Duck with Plums,3,,[Main Dishes],,"[duck, kosher salt, ground black pepper, yellow onion, thyme, clove, cinnamon, plums]"
Duck-Fat-Cooked-Fries-1307988,Duck Fat Cooked Fries,4,4500.0,[Side Dishes],,"[yukon gold potatoes, duck fat, garlic cloves, flat leaf parsley, fleur de sel]"
Duck-A-L_orange-Epicurious,Duck a l'Orange,5,3600.0,[Main Dishes],,"[sugar, water, sherry wine vinegar, fresh orange juice, shallots, low salt chicken broth, orange, duck breast halves, unsalted butter, grated orange peel]"
Roast-Duck-with-Spiced-Pomegranate-Sauce-769540,Roast Duck with Spiced Pomegranate Sauce,4,600.0,,,"[duck, ground black pepper, salt, soy sauce, allspice, sauce, orange, fresh herbs]"
