id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients
Lentil-Curry-1368201,Lentil Curry,4,4200.0,[Main Dishes],,"[green lentil, coconut milk, garam masala, ground turmeric, curry powder, purple onion, garlic, salt]"
Curried-Cabbage-1373823,Curried Cabbage,4,2400.0,[Side Dishes],,"[cabbage, vegetable oil, onions, garlic, curry powder, hot pepper, salt]"
Curry-1216223,Curry,4,1500.0,[Main Dishes],,"[coconut milk, curry paste, brown sugar, cooked meat, bamboo shoots, vegetables, fresh basil, fish sauce]"
Chickpea-Curry-1316709,Chickpea Curry,4,2700.0,[Main Dishes],,"[basmati rice, vegetable oil, onions, salt, pepper, curry powder, garlic, vegetable stock, chickpeas, coconut milk, honey, Sriracha, lime wedges, cilantro leaves]"
Thai-Shrimp-Curry-1377023,Thai Shrimp Curry,4,1500.0,[Main Dishes],"[Thai, Asian]","[shrimp, brown basmati rice, light coconut milk, sesame oil, Thai red curry paste, honey, garlic, fish sauce, fresh cilantro, scallions, lime]"
Chicken-Curry-1374244,Chicken Curry,4,6300.0,[Main Dishes],,"[milk, eggs, all-purpose flour, seasoning salt, cracked black pepper, boneless chicken skinless thigh, canola oil, curry powder, garam masala, onions, soy sauce, chicken broth, cooked rice]"
Super-Simple-Potato-Curry-1343851,Super Simple Potato Curry,4,1500.0,,,"[coconut oil, garlic, onions, small potatoes, full fat coconut milk, diced tomatoes, frozen peas, red pepper, curry powder, tumeric, salt, maple syrup, minced ginger]"
Coconut-Milk-Chicken-Curry-1332275,Coconut Milk Chicken Curry,4,3600.0,[Main Dishes],,"[chicken, garlic, ginger, olive oil, coconut milk, purple onion, tomatoes, ground cumin, ground turmeric, curry powder, black pepper, paprika, salt, coriander]"
Japanese-Chicken-Curry-1368246,Japanese Chicken Curry,4,2700.0,[Main Dishes],,"[boneless chicken skinless thigh, oil, onions, large garlic cloves, carrots, plain flour, mild curry powder, chicken stock, honey, soy sauce, garam masala, large potatoes, frozen peas]"
Tofu-Eggplant-Curry-1378061,Tofu Eggplant Curry,4,2400.0,[Main Dishes],,"[firm tofu, vegetable oil, onions, garlic, ginger, curry powder, coconut milk, Thai eggplants, chinese eggplants, salt]"
Chicken-Curry-with-Coconut-MIlk-1370857,Chicken Curry with Coconut MIlk,4,3600.0,[Main Dishes],[Asian],"[peanut oil, red curry paste, curry powder, fresh ginger, chicken breasts, potatoes, carrots, coconut milk]"
House-Keralite-Chicken-Curry-1379664,House Keralite Chicken Curry,3,2100.0,[Main Dishes],[Indian],"[oil, mustard seeds, fresh curry leaves, green chilies, onions, ginger root, garlic, chicken breasts, garam masala, coconut milk, yoghurt, salt, sugar, cilantro leaves]"
Chicken-Curry-1111102,Chicken Curry,4,4500.0,[Main Dishes],,"[oil, potatoes, carrots, onions, garlic, chicken, fish sauce, coconut milk, water, green bell pepper, red bell pepper, curry powder, salt]"
Pumpkin-Curry-1364525,Pumpkin Curry,4,,,,"[coconut oil, butternut squash, yellow onion, cauliflower florets, garlic, fresh ginger, curry powder, chili pepper, coconut milk, pumpkin purée, chickpeas]"
Thai-Style-Beef-and-Broccoli-Curry-1361041,Thai-Style Beef and Broccoli Curry,4,2100.0,[Main Dishes],"[Thai, Asian]","[florets, broccoli, vegetable oil, beef tenderloin, freshly ground pepper, kosher salt, shallots, fresh ginger, Thai red curry paste, coconut milk, brown sugar, asian fish sauce, steamed rice, fresh basil leaves, lime wedges]"
Vegetable-Curry-1371435,Vegetable Curry,4,3000.0,[Main Dishes],,"[coconut oil, yellow onion, garlic cloves, fresh ginger, chicken broth, potatoes, cauliflower florets, fresh tomatoes, unsweetened coconut milk, red curry paste, lime, fresh cilantro]"
Curried-Chicken-1376486,Curried Chicken,3,1200.0,[Main Dishes],,"[boneless chicken skinless thigh, sweet pepper, onions, chile pepper, garlic, low sodium chicken broth, golden raisins, shredded coconut, curry powder, salt, ground cinnamon, cayenne pepper, unsweetened coconut milk, corn starch, cooked rice, salted cashews]"
Cashew-curry-308788,Cashew Curry,5,1800.0,[Main Dishes],,"[coconut milk, curry powder, fine sea salt, purple onion, garlic cloves, water, firm tofu, green beans, cauliflower, cashew nuts, cilantro]"
Madras-Curry-1363184,Madras Curry,3,1200.0,[Main Dishes],,"[cauliflower, potatoes, red swiss chard, fresh spinach, onions, chickpeas, olive oil, salt, black pepper, mild curry paste, warm water, light brown sugar, diced tomatoes, golden raisins, basmati rice, toasted cashews, plain yogurt]"
Pumpkin-and-Chickpea-Curry-1351783,Pumpkin and Chickpea Curry,4,1500.0,[Main Dishes],,"[olive oil, spices, curry powder, garam masala, chili powder, cumin, red pepper flakes, onions, garlic, fresh ginger, tomatoes, pumpkin purée, maple syrup, salt, unsweetened almond milk, frozen broccoli florets, white wine vinegar, chickpeas]"
Panang-Curry-1355673,Panang Curry,4,2400.0,[Main Dishes],,"[chicken breasts, red pepper, green pepper, white onion, basil, coconut milk, panang curry paste, white rice, peanut butter, cayenne pepper, garlic, chicken stock]"
Turkey_-Cilantro-Sliders-with-Curried-Mayonaise-1377428,"Turkey, Cilantro Sliders with Curried Mayonaise",3,900.0,[Lunch and Snacks],,"[ciabatta, mayonnaise, curry powder, sliced turkey, purple onion, lettuce leaves, cilantro leaves]"
Aromatic-Blackeye-Bean-Curry-1373957,Aromatic Blackeye Bean Curry,3,5400.0,[Main Dishes],[Indian],"[black-eyed peas, cumin seed, coriander seeds, fennel seeds, fenugreek seeds, cinnamon, chili flakes, oil, black mustard seeds, fresh curry leaves, onions, garlic, fresh ginger, salt, water, cilantro leaves, coconut]"
Coconut-Shrimp-Curry-with-Red-Pepper-and-Spinach-1371977,Coconut Shrimp Curry with Red Pepper and Spinach,4,2400.0,[Main Dishes],,"[large shrimp, fresh lemon juice, cayenne pepper, salt, vegetable oil, onions, red bell pepper, minced garlic, minced ginger, ground coriander, curry powder, tumeric, diced tomatoes in juice, sugar, unsweetened coconut milk, pepper, spinach, cooked rice]"
