id,recipeName,rating,totalTimeInSeconds,course,cuisine,ingredients,dish
Gumbo-1206306,Gumbo,4,6600.0,[Main Dishes],[Cajun & Creole],"[canola oil, smoked sausage, skinless chicken thighs, flour, unsalted butter, green bell pepper, onions, chopped celery, minced garlic, tomatoes, crab leg, creole seasoning, smoked paprika, chicken-flavored soup powder, thyme, bay leaves, shrimp, chopped parsley, green onions, gumbo file, cooked rice]",gumbo
Gumbo-1378291,Gumbo,4,11700.0,[Main Dishes],[Cajun & Creole],"[coconut oil, frozen okra, chicken pieces, flour, salt, freshly ground black pepper, butter, onions, celery ribs, green bell pepper, red bell pepper, garlic cloves, cayenne pepper, dried basil, fresh basil, chopped fresh thyme, dried oregano, chicken broth, andouille sausage, fresh tomatoes, bay leaves, worcestershire sauce, hot sauce, file powder]",gumbo
Homemade-Shrimp-Gumbo-From-Scratch-1364944,Homemade Shrimp Gumbo From Scratch,3,4200.0,[Main Dishes],,"[onions, celery ribs, tomatoes, okra, butter, peeled shrimp, sausages, garlic powder, creole seasoning, gumbo file seasoning, bay leaves, salt, pepper, cayenne]",gumbo
CHICKEN-_-SAUSAGE-GUMBO-1380004,CHICKEN & SAUSAGE GUMBO,4,5400.0,[Main Dishes],,"[white onion, all-purpose flour, vegetable oil, beef smoked sausage, boneless skinless chicken breasts, boneless chicken skinless thigh, hot water, green onions, gumbo file seasoning, black pepper, salt]",gumbo
Shrimp-Gumbo-1159147,Shrimp Gumbo,3,3600.0,[Main Dishes],,"[butter, flour, diced onions, green pepper, diced celery, andouille sausage, smoked meat, seasoning, paprika, gumbo file, ancho chili ground pepper, chicken broth, light brown sugar, bay leaf, medium shrimp]",gumbo
Louisiana-Seafood-Gumbo-1176899,Louisiana Seafood Gumbo,4,7800.0,[Main Dishes],[Cajun & Creole],"[vegetable oil, all-purpose flour, yellow onion, diced celery, diced bell pepper, minced garlic, shrimp stock, bay leaves, crab, shrimp, oysters, crabmeat, ground black pepper, kosher salt, cajun seasoning, hot sauce, gumbo file, long grain white rice, onion tops]",gumbo
Chicken_-Sausage_-_-Shrimp-Gumbo-1012515,"Chicken, Sausage, & Shrimp Gumbo",4,6300.0,[Main Dishes],,"[vegetable oil, italian sausage, all-purpose flour, onions, celery, green bell pepper, salt, pepper, cayenne pepper, beer, chicken stock, boneless chicken skinless thigh, bay leaves, shrimp, cooked white rice, gumbo file]",gumbo
Shrimp-Gumbo-1341036,Shrimp Gumbo,4,4200.0,[Main Dishes],,"[oil, flour, onions, celery, green pepper, garlic, okra, shrimp stock, tomatoes, paprika, cayenne pepper, oregano, thyme, bay leaves, salt, pepper, shrimp, green onions, parsley]",gumbo
Chicken-And-Sausage-Gumbo-1367464,Chicken And Sausage Gumbo,4,11700.0,[Main Dishes],[Cajun & Creole],"[schmaltz, flour, onions, chicken, spices, smoked sausage, celery, green bell pepper, garlic, chicken stock, dried thyme, bay leaves, andouille sausage, okra, worcestershire sauce, Tabasco Pepper Sauce, salt, pepper, cooked white rice]",gumbo
Lamb-and-Sausage-Gumbo-1375031,Lamb and Sausage Gumbo,4,10800.0,[Main Dishes],,"[extra-virgin olive oil, lamb shoulder, salt, pepper, italian sausage, yellow onion, green bell pepper, celery, garlic, lamb, thyme, sage leaves, fresh bay leaves, paprika, smoked paprika, cayenne pepper, kosher salt, freshly ground black pepper, worcestershire sauce, all-purpose flour, canola oil, okra, long-grain rice, Louisiana Hot Sauce]",gumbo
Chicken-and-Sausage-Gumbo-1159953,Chicken and Sausage Gumbo,3,6900.0,[Main Dishes],,"[unsalted butter, andouille sausage, boneless chicken skinless thigh, kosher salt, pepper, flour, vegetable oil, yellow onion, celery, green pepper, garlic, okra, low sodium chicken broth, diced tomatoes, collard greens, fresh thyme, bay leaves, file powder, cooked white rice, flat leaf parsley, scallions]",gumbo
Gumbo-457979,Gumbo,5,,[Main Dishes],"[American, Cajun & Creole, Southern & Soul Food]","[andouille sausage, smoked sausage, meat cuts, vegetable oil, okra, all-purpose flour, yellow onion, water, browning, boneless chicken skinless thigh, ham, garlic cloves, paprika, flat leaf parsley, dried thyme, lump crab meat, shrimp, file powder, freshly ground pepper, white rice, hot sauce]",gumbo
Seafood-Gumbo-512432,Seafood Gumbo,5,18900.0,[Main Dishes],"[American, Southern & Soul Food]","[beer, shrimp, blue crabs, salt, vegetable oil, onions, celery ribs, garlic cloves, paprika, rosemary sprigs, bay leaves, water, all-purpose flour, green bell pepper, jalapeno chilies, file powder, chile powder, ground black pepper, cayenne pepper, white pepper, dried oregano, red pepper flakes, dried thyme, hot sauce, shucked oysters, crab]",gumbo
Cajun-Chicken-and-Sausage-Gumbo-1324489,Cajun Chicken and Sausage Gumbo,4,9900.0,[Main Dishes],[Cajun & Creole],"[vegetable oil, all-purpose flour, chopped onion, chopped celery, chopped green bell pepper, chopped garlic, dried thyme, chopped fresh thyme, salt, freshly ground pepper, paprika, cayenne pepper, homemade chicken stock, skin on bone in chicken legs, andouille sausage, sliced green onions, finely chopped fresh parsley, cooked white rice]",gumbo
Seafood-Gumbo-747348,Seafood Gumbo,3,4800.0,[Main Dishes],,"[blue crabs, canola oil, flour, garlic, celery, yellow onion, green bell pepper, seafood stock, worcestershire sauce, cayenne, bay leaves, kosher salt, ground black pepper, medium shrimp, lump crab meat, parsley, fresh lemon juice, scallions, cooked white rice]",gumbo
Stevarino_s-Louisiana-Gumbo-File_-975705,Stevarino's Louisiana Gumbo File',4,14400.0,[Main Dishes],[Cajun & Creole],"[fryer chickens, chicken breasts, andouille sausage, crawfish, onions, celery, garlic, flour, okra, stewed tomatoes, carrots, cayenne pepper, salt, black pepper, gumbo file, hot sauce, bay leaves, cooking oil, olive oil, white rice]",gumbo
Creole-Chicken-and-Sausage-Gumbo-1304779,Creole Chicken and Sausage Gumbo,4,7200.0,[Main Dishes],[Cajun & Creole],"[all-purpose flour, bone in skin on chicken thigh, kielbasa, tomato paste, low sodium chicken broth, yellow onion, yellow bell pepper, medium tomatoes, celery, garlic, bay leaves, salt, dried thyme, cayenne pepper, ground black pepper, allspice, white vinegar, fresh parsley leaves, green onions]",gumbo
Shrimp-and-Sausage-Gumbo-1254544,Shrimp and Sausage Gumbo,3,6300.0,[Main Dishes],[Cajun & Creole],"[shrimp, chicken broth, andouille sausage, vegetable oil, all-purpose flour, onions, green bell pepper, celery ribs, garlic cloves, bay leaves, creole seasoning, dried thyme, worcestershire sauce, hot sauce, green onions, cooked rice]",gumbo
Gumbo-1215662,Gumbo,4,9600.0,[Main Dishes],[Cajun & Creole],"[chicken, butter, onions, chopped celery, bell pepper, okra, garlic, polish sausage, smoked ham, diced tomatoes, navy beans, seasoning, bay leaves, chicken stock, shrimp, cooked rice]",gumbo
Fat-Tuesday-Gumbo-1369209,Fat Tuesday Gumbo,4,6300.0,[Main Dishes],,"[flour, black pepper, cayenne pepper, paprika, onion powder, garlic powder, chicken breasts, vegetable oil, chopped onion, chopped bell pepper, chopped celery, chicken broth, sausages, garlic, cooked rice]",gumbo
Best-Ever-Seafood-Gumbo-1335700,Best Ever Seafood Gumbo,3,8700.0,[Main Dishes],[Cajun & Creole],"[lump crab meat, shrimp, kosher salt, oil, okra, andouille sausage, all-purpose flour, yellow onion, chopped celery, chopped green bell pepper, garlic cloves, green onions, tomato paste, bay leaves, chopped fresh thyme, hot sauce, ground red pepper, ground black pepper, worcestershire sauce, liquid, tomatoes, oysters, flat leaf parsley, long-grain rice]",gumbo
Chicken-and-Sausage-Gumbo-1364143,Chicken and Sausage Gumbo,3,2400.0,[Main Dishes],,"[boneless chicken skinless thigh, freshly ground pepper, salt, unsalted butter, smoked sausage, andouille sausage, celery ribs, yellow onion, green bell pepper, garlic cloves, all-purpose flour, chicken broth, frozen okra, okra pods]",gumbo
Crab-and-Vegetable-Gumbo-MyRecipes-243757,Crab and Vegetable Gumbo,4,2400.0,"[Soups, Main Dishes]","[Cajun & Creole, American]","[butter, chopped onion, carrots, kosher salt, ground cumin, ground red pepper, black pepper, garlic powder, celery ribs, lower sodium chicken broth, gumbo, water, all-purpose flour, meat, long grain white rice]",gumbo
Chicken-and-Sausage-Gumbo-Epicurious-203551,Chicken and Sausage Gumbo,5,11700.0,"[Soups, Main Dishes]","[Cajun & Creole, Southern & Soul Food, American]","[kosher salt, ground black pepper, paprika, cayenne pepper, boneless chicken skinless thigh, vegetable oil, andouille sausage, all-purpose flour, onions, scallions, celery ribs, green bell pepper, chopped garlic, low salt chicken broth, bay leaves, chopped fresh thyme, okra, worcestershire sauce, hot sauce, file powder, steamed rice]",gumbo
Spicy-Cajun-IPA-Gumbo-1357434,Spicy Cajun IPA Gumbo,4,10800.0,[Main Dishes],[Cajun & Creole],"[olive oil, all-purpose flour, garlic, chicken broth, India Pale Ale, celery ribs, roma tomatoes, sweet onion, diced tomatoes, red chili peppers, fresh parsley, cajun seasoning, shrimp, spicy sausage, okra]",gumbo
